Date;Interview_location_latitude;Interview_location__longitude;Respondent Age;Educational Level;Primary Livelihood;Observed Land Use Change (Past 20 years);Main Driver of Change;Key Pressures on Habitat;_index
Monday, 22 December 2025;-3,377236309;29.35025007;34;Secondary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Overfishing Water pollution Soil pollution Sedimentation/siltation Soil erosion Invasive species Waste dumping Deforestation Climate change impacts;1
Monday, 22 December 2025;-3.387962665;29.35025007;30;Primary education;Crop agriculture;Settlement expansion;Population pressure/growth;Soil pollution Sedimentation/siltation Soil erosion Deforestation Invasive species Climate change impacts;2
Monday, 22 December 2025;-3.387962665;29.35025007;53;Secondary education;Wage labor;Wetland degradation/drainage;Agricultural expansion;Climate change impacts Soil pollution Sedimentation/siltation Soil erosion Deforestation;3
Monday, 22 December 2025;-3.387962665;29.35025007;42;Primary education;Trade/commerce;Agricultural expansion;Population pressure/growth;Deforestation Soil erosion Sedimentation/siltation Climate change impacts;4
Monday, 22 December 2025;-3.387962665;29.35025007;27;Secondary education;Wage labor;Forest loss/deforestation;Population pressure/growth;Sedimentation/siltation Soil erosion Deforestation Climate change impacts;5
Monday, 22 December 2025;-3.387962665;29.35025007;25;Secondary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Deforestation Soil erosion Sedimentation/siltation Soil pollution;6
Monday, 22 December 2025;-3.387962665;29.35025007;67;Primary education;Crop agriculture;Agricultural expansion;Agricultural expansion;Sedimentation/siltation Soil erosion Deforestation Climate change impacts;7
Monday, 22 December 2025;-3.387962665;29.35025007;47;Secondary education;Trade/commerce;Forest loss/deforestation;Population pressure/growth;Soil erosion Sedimentation/siltation Deforestation;8
Monday, 22 December 2025;-3.387962665;29.35025007;58;Primary education;Crop agriculture;Agricultural expansion;Population pressure/growth;Deforestation Soil erosion Sedimentation/siltation Climate change impacts;9
Monday, 22 December 2025;-3.387962665;29.35025007;31;No formal schooling;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Overfishing Water pollution Waste dumping Soil erosion Agricultural chemicals;10
Monday, 22 December 2025;-3.387962665;29.35025007;53;Primary education;Crop agriculture;Forest loss/deforestation;Agricultural expansion;Agricultural chemicals Deforestation;11
Monday, 22 December 2025;-3.387962665;29.35025007;20;Primary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Deforestation;12
Monday, 22 December 2025;-3.387962665;29.35025007;32;Tertiary education;Wage labor;Forest loss/deforestation;Agricultural expansion;Deforestation;13
Monday, 22 December 2025;-3.387962665;29.35025007;36;Secondary education;Wage labor;Forest loss/deforestation;Population pressure/growth;Deforestation;14
Monday, 22 December 2025;-3.387962665;29.35025007;32;Primary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Deforestation;15
Monday, 22 December 2025;-3.387962665;29.35025007;28;Primary education;Trade/commerce;Forest loss/deforestation;Population pressure/growth;Deforestation;16
Monday, 22 December 2025;-3.387962665;29.35025007;30;Primary education;Crop agriculture;Forest loss/deforestation;Agricultural expansion;Deforestation;17
Monday, 22 December 2025;-3.387962665;29.35025007;24;Secondary education;Wage labor;Forest loss/deforestation;Agricultural expansion;Deforestation;18
Monday, 22 December 2025;-3.387962665;29.35025007;34;No formal schooling;Fishing;Forest loss/deforestation;Agricultural expansion;Deforestation;19
Monday, 22 December 2025;-3.387962665;29.35025007;28;Secondary education;Fishing;Forest loss/deforestation;Population pressure/growth;Deforestation;20
Monday, 22 December 2025;-3.377236309;29.35650256;24;Tertiary education;Wage labor;Forest loss/deforestation;Population pressure/growth;Deforestation;21
Monday, 22 December 2025;-3.377236309;29.35650256;25;Primary education;Crop agriculture;Forest loss/deforestation;Population pressure/growth;Deforestation;22
Monday, 22 December 2025;-3.377236309;29.35650256;26;No formal schooling;Crop agriculture;Forest loss/deforestation;Agricultural expansion;Deforestation;23
Monday, 22 December 2025;-3.377236309;29.35650256;47;Secondary education;Wage labor;Forest loss/deforestation;Agricultural expansion;Deforestation;24
Monday, 22 December 2025;-3.377236309;29.35650256;60;No formal schooling;Fishing;Forest loss/deforestation;Population pressure/growth;Deforestation;25
Monday, 22 December 2025;-3.377236309;29.35650256;31;Primary education;Crop agriculture;Agricultural expansion;Poverty/livelihood needs;Overgrazing Soil erosion Water pollution Fire Sedimentation/siltation Deforestation;26
Monday, 22 December 2025;-3.377236309;29.35650256;47;No formal schooling;Crop agriculture;Forest loss/deforestation;Agricultural expansion;Sedimentation/siltation Invasive species Soil erosion;27
Monday, 22 December 2025;-3.377236309;29.35650256;37;Primary education;Trade/commerce;Agricultural expansion;Population pressure/growth;Agricultural chemicals Soil pollution Deforestation;28
Monday, 22 December 2025;-3.377236309;29.35650256;49;Primary education;Crop agriculture;Agricultural expansion;Population pressure/growth;Sedimentation/siltation Water pollution Deforestation;29
Monday, 22 December 2025;-3.377236309;29.35650256;50;Primary education;Crop agriculture;Agricultural expansion;Population pressure/growth;Soil pollution Sedimentation/siltation Deforestation;30
Monday, 22 December 2025;-3.377236309;29.35650256;52;No formal schooling;Crop agriculture;Agricultural expansion;Population pressure/growth;Soil erosion Agricultural chemicals Climate change impacts;31
Monday, 22 December 2025;-3.377236309;29.35650256;34;No formal schooling;Fishing;Agricultural expansion;Population pressure/growth;Soil pollution Sedimentation/siltation Soil erosion;32
Monday, 22 December 2025;-3.377236309;29.35650256;36;Tertiary education;Wage labor;Forest loss/deforestation;Population pressure/growth;Soil pollution Soil erosion Sedimentation/siltation;33
